vul_id,cve_id,cwe_id,cwe_name,level,model_key,model_id,compiled,pov_passed,regressions,trust_level,compile_log_chars,test_log_chars,error,timestamp
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L1,claude,claude-sonnet-4-5-20250929,True,False,,L1,4495,17056,,2026-05-27T19:13:04.444956+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L1,gemini,gemini-2.5-pro,True,False,org.apache.commons.fileupload.DiskFileItemSerializeTest#testAboveThreshold,L1,4495,18007,,2026-05-27T19:13:13.978183+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L1,gpt,gpt-5,True,False,,L1,4495,17059,,2026-05-27T19:13:23.332212+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L2,claude,claude-sonnet-4-5-20250929,True,False,,L1,4495,17063,,2026-05-27T19:13:32.280610+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L2,gemini,gemini-2.5-pro,True,False,,L1,4495,17060,,2026-05-27T19:13:40.694671+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L2,gpt,gpt-5,True,False,org.apache.commons.fileupload.DiskFileItemSerializeTest#testAboveThreshold,L1,4495,17816,,2026-05-27T19:13:50.596280+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3a,claude,claude-sonnet-4-5-20250929,True,False,,L1,4495,17063,,2026-05-27T19:13:58.820988+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3a,gemini,gemini-2.5-pro,True,False,,L1,4495,16212,,2026-05-27T19:14:07.318269+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3a,gpt,gpt-5,True,False,,L1,4495,17064,,2026-05-27T19:14:16.065569+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3b,claude,claude-sonnet-4-5-20250929,True,False,,L1,4495,17060,,2026-05-27T19:14:26.002234+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3b,gemini,gemini-2.5-pro,True,False,org.apache.commons.fileupload.DiskFileItemSerializeTest#testValidRepository,L1,4495,17197,,2026-05-27T19:14:34.242243+00:00
VUL4J-10,CVE-2013-2186,CWE-20,Improper Input Validation,L3b,gpt,gpt-5,True,False,,L1,4495,17063,,2026-05-27T19:14:42.261827+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L1,claude,claude-sonnet-4-5-20250929,True,True,,L3,5845,81117,,2026-05-27T19:14:51.690984+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L1,gemini,gemini-2.5-pro,True,True,,L3,5845,81120,,2026-05-27T19:15:23.668603+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L1,gpt,gpt-5,True,False,,L1,5845,82529,,2026-05-27T19:15:54.594406+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L2,claude,claude-sonnet-4-5-20250929,True,False,,L1,5845,82542,,2026-05-27T19:16:25.259663+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L2,gemini,gemini-2.5-pro,True,True,,L3,5845,81111,,2026-05-27T19:16:57.118280+00:00
VUL4J-13,CVE-2018-17201,CWE-835,Loop with Unreachable Exit Condition (Infinite Loop),L2,gpt,gpt-5,True,False,,L1,5845,82524,,2026-05-27T19:17:30.270605+00:00
